TransData v2.3
Copyright (c) 2001-2011 by George Moromisato. All Rights Reserved.

Loading...done.
pass 1...
pass 2...
pass 3...
pass 4...
pass 5...
pass 6...
pass 7...
pass 8...
pass 9...
pass 10...
LABEL STATISTICS

Total labels: 300.00
PerseusArm,droughtEnv,asymorphEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,GromeRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,JaxRace: 0.50 (0.16%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,JaxRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,JaxRace,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,ReenuRace: 0.50 (0.16%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,EfreetRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace: 0.70 (0.23%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,GromeRace: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,JaxRace: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,JaxRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,JaxRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,ReenuRace: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,GromeRace: 0.80 (0.26%)
PerseusArm,droughtEnv,asymorphEco,GromeRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,GromeRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,JaxRace: 0.70 (0.23%)
PerseusArm,droughtEnv,asymorphEco,JaxRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,JaxRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,JaxRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,JaxRace,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,level11: 0.80 (0.26%)
PerseusArm,droughtEnv,asymorphEco,level12: 1.20 (0.40%)
PerseusArm,droughtEnv,asymorphEco,level13: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,ReenuRace: 1.30 (0.43%)
PerseusArm,droughtEnv,asymorphEco,ReenuRace,level11: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,ReenuRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,ReenuRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace,GromeRace: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace,GromeRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace: 0.70 (0.23%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,GromeRace: 0.40 (0.13%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,GromeRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,GromeRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,ReenuRace: 0.30 (0.10%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,asymorphEco,TorQuanRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco: 5.00 (1.66%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace: 0.90 (0.30%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,GromeRace: 0.40 (0.13%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,GromeRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,GromeRace,level14: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,JaxRace: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,JaxRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,JaxRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,level14: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,ReenuRace: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,EfreetRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace: 2.50 (0.83%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,GromeRace: 0.70 (0.23%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,GromeRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,GromeRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,JaxRace: 1.30 (0.43%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,JaxRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,JaxRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,JaxRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,JaxRace,level14: 0.50 (0.16%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,level11: 0.90 (0.30%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,level12: 0.70 (0.23%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,level14: 0.60 (0.20%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,ReenuRace: 0.50 (0.16%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,ReenuRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,ReenuRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,GromeRace: 1.70 (0.56%)
PerseusArm,droughtEnv,chitometallicEco,GromeRace,level11: 0.70 (0.23%)
PerseusArm,droughtEnv,chitometallicEco,GromeRace,level12: 0.70 (0.23%)
PerseusArm,droughtEnv,chitometallicEco,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,GromeRace,level14: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,JaxRace: 2.10 (0.70%)
PerseusArm,droughtEnv,chitometallicEco,JaxRace,level11: 0.70 (0.23%)
PerseusArm,droughtEnv,chitometallicEco,JaxRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,JaxRace,level13: 0.40 (0.13%)
PerseusArm,droughtEnv,chitometallicEco,JaxRace,level14: 0.50 (0.16%)
PerseusArm,droughtEnv,chitometallicEco,level11: 1.90 (0.63%)
PerseusArm,droughtEnv,chitometallicEco,level12: 1.30 (0.43%)
PerseusArm,droughtEnv,chitometallicEco,level13: 0.60 (0.20%)
PerseusArm,droughtEnv,chitometallicEco,level14: 0.80 (0.26%)
PerseusArm,droughtEnv,chitometallicEco,ReenuRace: 1.20 (0.40%)
PerseusArm,droughtEnv,chitometallicEco,ReenuRace,level11: 0.50 (0.16%)
PerseusArm,droughtEnv,chitometallicEco,ReenuRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,ReenuRace,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,chitometallicEco,TesiphonRace: 0.40 (0.13%)
PerseusArm,droughtEnv,chitometallicEco,TesiphonRace,GromeRace: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,TesiphonRace,GromeRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,TesiphonRace,JaxRace: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,TesiphonRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace: 1.20 (0.40%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,GromeRace: 0.40 (0.13%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,GromeRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,JaxRace: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,JaxRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,level11: 0.50 (0.16%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,level12: 0.60 (0.20%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,ReenuRace: 0.50 (0.16%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,chitometallicEco,TorQuanRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco: 6.10 (2.03%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace: 2.60 (0.86%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,GromeRace: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,GromeRace,level11: 0.50 (0.16%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,GromeRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,JaxRace: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,JaxRace,level14: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,level11: 0.90 (0.30%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,level14: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,ReenuRace: 1.20 (0.40%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,ReenuRace,level11: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,ReenuRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,ReenuRace,level14: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,EfreetRace,ReenuRace,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace: 1.00 (0.33%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,GromeRace: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,GromeRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,JaxRace: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,JaxRace,level12: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,ReenuRace: 0.70 (0.23%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,ErebienRace,ReenuRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,GromeRace: 2.20 (0.73%)
PerseusArm,droughtEnv,crystallineEco,GromeRace,level11: 1.00 (0.33%)
PerseusArm,droughtEnv,crystallineEco,GromeRace,level12: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,GromeRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,JaxRace: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,JaxRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,JaxRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,JaxRace,level14: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,level11: 2.00 (0.66%)
PerseusArm,droughtEnv,crystallineEco,level12: 1.60 (0.53%)
PerseusArm,droughtEnv,crystallineEco,level13: 1.10 (0.36%)
PerseusArm,droughtEnv,crystallineEco,level14: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,ReenuRace: 2.90 (0.96%)
PerseusArm,droughtEnv,crystallineEco,ReenuRace,level11: 1.00 (0.33%)
PerseusArm,droughtEnv,crystallineEco,ReenuRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,ReenuRace,level13: 0.70 (0.23%)
PerseusArm,droughtEnv,crystallineEco,ReenuRace,level14: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,ReenuRace,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,GromeRace: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,GromeRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,level11: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,ReenuRace: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,TesiphonRace,ReenuRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace: 1.70 (0.56%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,GromeRace: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,GromeRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,GromeRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,JaxRace: 0.30 (0.10%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,JaxRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,level11: 0.50 (0.16%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,level12: 0.80 (0.26%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,ReenuRace: 0.60 (0.20%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,crystallineEco,TorQuanRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,EfreetRace: 6.70 (2.23%)
PerseusArm,droughtEnv,EfreetRace,GromeRace: 1.50 (0.50%)
PerseusArm,droughtEnv,EfreetRace,GromeRace,level11: 0.80 (0.26%)
PerseusArm,droughtEnv,EfreetRace,GromeRace,level12: 0.30 (0.10%)
PerseusArm,droughtEnv,EfreetRace,GromeRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,EfreetRace,GromeRace,level14: 0.20 (0.06%)
PerseusArm,droughtEnv,EfreetRace,JaxRace: 2.00 (0.66%)
PerseusArm,droughtEnv,EfreetRace,JaxRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,EfreetRace,JaxRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,EfreetRace,JaxRace,level13: 0.70 (0.23%)
PerseusArm,droughtEnv,EfreetRace,JaxRace,level14: 0.50 (0.16%)
PerseusArm,droughtEnv,EfreetRace,level11: 2.00 (0.66%)
PerseusArm,droughtEnv,EfreetRace,level12: 1.60 (0.53%)
PerseusArm,droughtEnv,EfreetRace,level13: 1.20 (0.40%)
PerseusArm,droughtEnv,EfreetRace,level14: 1.10 (0.36%)
PerseusArm,droughtEnv,EfreetRace,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,EfreetRace,ReenuRace: 3.00 (1.00%)
PerseusArm,droughtEnv,EfreetRace,ReenuRace,level11: 0.90 (0.30%)
PerseusArm,droughtEnv,EfreetRace,ReenuRace,level12: 0.70 (0.23%)
PerseusArm,droughtEnv,EfreetRace,ReenuRace,level13: 0.40 (0.13%)
PerseusArm,droughtEnv,EfreetRace,ReenuRace,level14: 0.30 (0.10%)
PerseusArm,droughtEnv,EfreetRace,ReenuRace,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,ErebienRace: 5.30 (1.76%)
PerseusArm,droughtEnv,ErebienRace,GromeRace: 1.30 (0.43%)
PerseusArm,droughtEnv,ErebienRace,GromeRace,level11: 0.40 (0.13%)
PerseusArm,droughtEnv,ErebienRace,GromeRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,ErebienRace,GromeRace,level13: 0.40 (0.13%)
PerseusArm,droughtEnv,ErebienRace,JaxRace: 1.80 (0.60%)
PerseusArm,droughtEnv,ErebienRace,JaxRace,level11: 0.50 (0.16%)
PerseusArm,droughtEnv,ErebienRace,JaxRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,ErebienRace,JaxRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,ErebienRace,JaxRace,level14: 0.50 (0.16%)
PerseusArm,droughtEnv,ErebienRace,level11: 1.40 (0.46%)
PerseusArm,droughtEnv,ErebienRace,level12: 2.00 (0.66%)
PerseusArm,droughtEnv,ErebienRace,level13: 1.20 (0.40%)
PerseusArm,droughtEnv,ErebienRace,level14: 0.60 (0.20%)
PerseusArm,droughtEnv,ErebienRace,ReenuRace: 2.20 (0.73%)
PerseusArm,droughtEnv,ErebienRace,ReenuRace,level11: 0.50 (0.16%)
PerseusArm,droughtEnv,ErebienRace,ReenuRace,level12: 1.00 (0.33%)
PerseusArm,droughtEnv,ErebienRace,ReenuRace,level13: 0.50 (0.16%)
PerseusArm,droughtEnv,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
PerseusArm,droughtEnv,GromeRace: 5.80 (1.93%)
PerseusArm,droughtEnv,GromeRace,level11: 2.40 (0.80%)
PerseusArm,droughtEnv,GromeRace,level12: 2.00 (0.66%)
PerseusArm,droughtEnv,GromeRace,level13: 0.70 (0.23%)
PerseusArm,droughtEnv,GromeRace,level14: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco: 3.30 (1.10%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace: 1.30 (0.43%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,GromeRace: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,JaxRace: 0.40 (0.13%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,JaxRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,JaxRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,level12: 0.60 (0.20%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,ReenuRace: 0.80 (0.26%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,ReenuRace,level11: 0.30 (0.10%)
PerseusArm,droughtEnv,hydroidEco,EfreetRace,ReenuRace,level12: 0.40 (0.13%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace: 1.10 (0.36%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,GromeRace: 0.30 (0.10%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,GromeRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,JaxRace: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,JaxRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,JaxRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,level13: 0.40 (0.13%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,ReenuRace: 0.60 (0.20%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,ReenuRace,level12: 0.50 (0.16%)
PerseusArm,droughtEnv,hydroidEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,GromeRace: 0.70 (0.23%)
PerseusArm,droughtEnv,hydroidEco,GromeRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,GromeRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,JaxRace: 0.60 (0.20%)
PerseusArm,droughtEnv,hydroidEco,JaxRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,JaxRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,JaxRace,level13: 0.30 (0.10%)
PerseusArm,droughtEnv,hydroidEco,level11: 0.90 (0.30%)
PerseusArm,droughtEnv,hydroidEco,level12: 1.30 (0.43%)
PerseusArm,droughtEnv,hydroidEco,level13: 0.60 (0.20%)
PerseusArm,droughtEnv,hydroidEco,ReenuRace: 2.00 (0.66%)
PerseusArm,droughtEnv,hydroidEco,ReenuRace,level11: 0.60 (0.20%)
PerseusArm,droughtEnv,hydroidEco,ReenuRace,level12: 1.10 (0.36%)
PerseusArm,droughtEnv,hydroidEco,ReenuRace,level13: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,TesiphonRace: 0.30 (0.10%)
PerseusArm,droughtEnv,hydroidEco,TesiphonRace,GromeRace: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,TesiphonRace,GromeRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,TesiphonRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace: 0.60 (0.20%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace,GromeRace: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace,ReenuRace: 0.40 (0.13%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace,ReenuRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,hydroidEco,TorQuanRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,JaxRace: 5.00 (1.66%)
PerseusArm,droughtEnv,JaxRace,level11: 1.40 (0.46%)
PerseusArm,droughtEnv,JaxRace,level12: 1.30 (0.43%)
PerseusArm,droughtEnv,JaxRace,level13: 1.10 (0.36%)
PerseusArm,droughtEnv,JaxRace,level14: 1.00 (0.33%)
PerseusArm,droughtEnv,level11: 6.40 (2.13%)
PerseusArm,droughtEnv,level12: 5.80 (1.93%)
PerseusArm,droughtEnv,level13: 2.90 (0.96%)
PerseusArm,droughtEnv,level14: 1.70 (0.56%)
PerseusArm,droughtEnv,level15: 0.10 (0.03%)
PerseusArm,droughtEnv,primordialEco: 1.70 (0.56%)
PerseusArm,droughtEnv,primordialEco,EfreetRace: 0.70 (0.23%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,JaxRace: 0.40 (0.13%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,JaxRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,JaxRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,level13: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,ReenuRace: 0.30 (0.10%)
PerseusArm,droughtEnv,primordialEco,EfreetRace,ReenuRace,level12: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,GromeRace: 0.40 (0.13%)
PerseusArm,droughtEnv,primordialEco,GromeRace,level11: 0.20 (0.06%)
PerseusArm,droughtEnv,primordialEco,GromeRace,level12: 0.10 (0.03%)
